Date,Arrivals,Occupied,OccPercent,RoomRev,RevPAR,ADR
2022-12-15,10,18,23.68,1334.68,17.56,74.15
2022-12-16,26,32,42.11,2810.3,36.98,87.82
2022-12-17,24,34,44.74,2909.15,38.28,85.56
2022-12-18,12,21,27.63,1730.02,22.76,82.38
2022-12-19,19,23,30.26,1512.57,19.9,65.76
2022-12-20,13,21,27.63,1690.92,22.25,80.52
2022-12-21,17,24,31.58,1535.16,20.2,63.97
2022-12-22,7,17,22.37,1348.14,17.74,79.3
2022-12-23,18,20,26.32,1828.94,24.07,91.45
2022-12-24,10,15,19.74,1433.45,18.86,95.56
2022-12-25,12,13,17.11,1148.32,15.11,88.33
2022-12-26,15,17,22.37,1747.79,23.0,102.81
2022-12-27,12,23,30.26,1981.31,26.07,86.14
2022-12-28,21,28,36.84,1430.43,18.82,51.09
2022-12-29,18,22,28.95,1756.39,23.11,79.84
2022-12-30,40,48,63.16,4035.21,53.09,84.07
2022-12-31,43,63,80.77,5901.49,75.66,93.67
2023-10-01,28,47,66.2,3821.79,53.83,81.31
2023-10-02,31,52,73.24,4102.86,57.79,78.9
2023-10-03,37,60,84.51,4738.87,66.74,78.98
2023-10-04,37,63,88.73,5178.55,72.94,82.2
2023-10-05,22,50,70.42,3989.49,56.19,79.79
2023-10-06,53,68,93.15,10734.02,147.04,157.85
2023-10-07,28,73,100.0,11858.73,162.45,162.45
2023-10-08,32,56,77.78,5119.12,71.1,91.41
2023-10-09,30,58,81.69,4942.02,69.61,85.21
2023-10-10,26,53,74.65,4396.95,61.93,82.96
2023-10-11,29,58,81.69,4682.61,65.95,80.73
2023-10-12,26,54,75.0,4396.5,61.06,81.42
2023-10-13,29,47,66.2,5314.77,74.86,113.08
2023-10-14,34,60,84.51,6605.13,93.03,110.09
